Avalance Demonstration
Implementation by Sam Fitzpatrick (C3404867) and Corey Silk (C3280997)
Plaintext P: 0110000101100010011000110110010001100101011001100110011101101000
Plaintext P': 0110000101100010011000110110010001100101011001100110011101101001
Key K: 01101001011010100110101101101100011011010110111001101111
Key K': 01101001011010100110101101101100011011010110111001101110
Total running time: 0.009001493453979492

P and P' under K
Ciphertext C DES0: 0110111100001111011100100010110010000001011001101110111001100110
Ciphertext C DES1: 1010100001000100001101001010111110100110111111011001001101100000
Ciphertext C DES2: 0110111100001111011100100010110010000001011001101110111001100110
Ciphertext C DES3: 1011001000000000110101010001001001110001111100010000111001110111
Ciphertext C' DES0: 1010001101110010110001110001011001000011111000101111111110110111
Ciphertext C' DES1: 1000110100100110111101001011100010110110101001010001011010101110
Ciphertext C' DES2: 1010001101110010110001110001011001000011111000101111111110110111
Ciphertext C' DES3: 1110001101001101000010111001100101110100100100110000010100001101
Round      DES0     DES1     DES2     DES3
0       1         1         1           1
1       1         1         1           1
2       6         6         6           7
3       24         21         24           16
4       39         37         39           22
5       39         38         39           28
6       34         33         34           33
7       26         30         26           29
8       28         29         28           28
9       38         35         38           27
10       38         31         38           23
11       35         27         35           27
12       31         30         31           32
13       28         31         28           35
14       31         33         31           36
15       29         27         29           33
16       30         25         30           31
